Timestamp,Where do you live? (City)  ,What nights did you attend CHUR BURN 2018?,Would you buy a double ticket next year?,How safe did you feel during Chur Burn?,"Were you aware of the roaming Good Time Patrol (GTP), dressed in yellow? ",What do you love/value most about Chur Burn?,What do you dislike? What could we lose?,What could we add or improve to make Chur Burn even better?,Have you ever been to Kiwiburn?,How about a Chur Festival - Would you be interested in attending?,What kind of Chur festival?,How far would you realistically travel for a Chur festival?,Any other feedback about Chur Burn? We always hold space for any kind of feedback
2018/05/02 9:33:41 am GMT+12,Wellington,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",,,The snug pit got too deep on one side. it worked heaps better when the path was through the middle,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
2018/05/02 9:35:05 am GMT+12,Tauranga,Saturday only,"I went ONE night, but would go for two nights next year",7,I knew about them but didn't see them,Good vibes and the freedom to be myself,,More Chur Burns!!,"Yes, 5 or more times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/02 9:38:24 am GMT+12,Wellington,Friday only,One night was enough for me,7,I saw them once or twice,I LOVED the chill spaces.  Also enjoyed dancing to some good beats.,The main area where the food and bar were was a bit overly lit.,,"Yes, 5 or more times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,I really appreciated the amount of work that clearly went into putting on a really fun event.
2018/05/02 9:39:43 am GMT+12,Wellington,Saturday only,One night was enough for me,5,I saw them once or twice,That it's my burner community.,"I'm on the fence about the heavy focus on sex-positivity at Chur events. I don't disagree with the message, but it can be isolating for those who just want the community/party side of things.","I'd suggest a focus on what you've got, which works awesomely, rather than looking to grow and expand the offering.","Yes, 5 or more times",3,"A Weekend Doof (camping, bass music, dancing)",up to 30 mins,"The bar was dire. No gin, and only cheap spirits. Missed opportunity for oyu or the venue to get some coin there."
2018/05/02 9:39:56 am GMT+12,wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",radical self expression and connecting with people ,,a few more fans downstairs to cool it down! somehow cover the entryway to the boat so smoking area is sheltered :-),"Yes, once",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/02 9:47:19 am GMT+12,Wellington,Friday only,One night was enough for me,7,The GT- Whhaaaat? No idea what you are on about.,Everything!,,,"Yes, once",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/02 9:54:14 am GMT+12,Palmerston North,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,The dancing and interactions with mates. Particularly the outfits but that is a normative with burn events... I really appreciated the effort to try and push/ create more events for that weekend this year.,Nothing,Better laid out and intricate snug zone. More interactivity in it. It was really really bland. The layout stopped flow and the decor made it seem it was thrown together.,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,"For this kind of Chur festival with a burn focus, the question I have is who are you really trying to reach out to with these events? Clearly since Chur is primarily focused on dancing (which you guys are quite good at) there is that side but you do other talks at kiwiburn quite well. How are you distinguishing yourself from Kiwiburn and other festivals? If you do dance and party only then focus on that and hit it out hard. But don't sacrifice it to try and reach out to other areas unless you have a good base so it doesn't seem half put together. This can be seen at Chur Burn with the snug zone (in one aspect) where actively reaching out to other camps or individuals would work best (like last year).
I guess the other aspect for these events, or future events, is what are you doing that is unique to push novel experiences that are different year to year? So it's not the same every time. Bring elements of what you've done in the past and build onto it into different areas. How are you reaching out to individuals who are there that primarily go to the snug zone only (like some of my mates)? What service are you providing them? Or what kind of participation are you wanting from them as well? Keep it innovative. Yes, burn principles is about giving back and radical inclusion (etc.) from all participants but this is YOUR fundraiser. How are you making all individuals who come in from different walks of life included? I had a mate who left right from the get go on friday night because he felt he didn't feel represented. Yes, it's not an event for everyone but people go because they connected somehow at kiwiburn and want to continue that. He didn't get that here. It's a variety of interactive activities, design, decorations, and FLOW that helps with it. When you are on top of the game and people look up to you, you have to keep evolving and be creative to push the limits of novel experiences to keep it going. You have to connect on a much wider level."
2018/05/02 9:58:00 am GMT+12,Wellington,Friday only,One night was enough for me,7,I knew about them but didn't see them,the people,n/a,all nighter,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
2018/05/02 10:01:32 am GMT+12,Wellington ,BOTH!,I could probably do a third night,7,"Yeah, they were easy to recognise and saw them a lot",So many different people all together just to party,I didn't like the toilet queue ,Fan downstairs ,"Yes, once",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 10:03:14 am GMT+12,wellington,Saturday only,"I went ONE night, but would go for two nights next year",7,"Yeah, they were easy to recognise and saw them a lot",bass,all good,,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 10:13:49 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",People,na,"maybe have the live music elsewhere, or have a space for chill live music upstairs","Yes, 2 to 5 times",5,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,
2018/05/02 10:28:37 am GMT+12,Auckland,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I saw them once or twice,The people that this event attracted were all super nice humans. Maybe it's because this was kept fairly small?,,MORE PILLOWS AND FLUFFY STUFF,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,"Hm... if we can have a slightly bigger space for the dance floor, maybe can section the back off for people who might not want to perform on stage but will still like some space to dance with their flow toys to the amazing music? It was fine at the beginning of the night but later on you couldn't really do it when it got super busy."
2018/05/02 10:31:06 am GMT+12,Wellington,Saturday only,I don't mind either way,5,The GT- Whhaaaat? No idea what you are on about.,The space provided to have Burn-style parties for people like me that can't take a week off work to head up to the Paddock.,,Ventilation on the dance floor 'cause damn. ,"Yes, once",4,"A Weekend Doof (camping, bass music, dancing)",up to 30 mins,"More a comment on the venue, really, the boat's bar staff seemed quite overwhelmed and I think it might have been the first night for some of them. Also they seemed somewhat understocked so maybe next time make sure the venue is prepared for two nights of caners?"
2018/05/02 10:38:37 am GMT+12,Auckland,Saturday only,"I went ONE night, but would go for two nights next year",7,"Yeah, they were easy to recognise and saw them a lot",Freedom of expression,So hot downstairs,More cuddle space,"Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/02 10:53:20 am GMT+12, wellington,Saturday only,I went TWO nights and would do two nights again next year,6,The GT- Whhaaaat? No idea what you are on about.,"The safe environment and commitment to addressing stopping, sexual violence big and small.","the ""street clothes are not ok"" type statements in your communications. It's kinda hard not to read this as ""people who aren't fabulous shouldn't come"", ie not radical inclusion.",,"Yes, 5 or more times",5,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,Just thank you!
2018/05/02 10:56:54 am GMT+12,Dunedin,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",The energy and inclusiveness,all good,,"Yes, 2 to 5 times",6,"A Weekend Doof (camping, bass music, dancing)",any distance,Bit more funk on the dance floor
2018/05/02 10:58:33 am GMT+12,Wellington ,BOTH!,One night was enough for me,7,I saw them once or twice,Burner people,Change the music!!! ,Change the music!!! ,"Yes, once",2,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,"Improve the music, house please."
2018/05/02 10:59:37 am GMT+12,Wellington,Friday only,I don't mind either way,7,I saw them once or twice,"As a woman, partying with people respecting me and my space.",,,"Yes, 2 to 5 times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/02 11:15:08 am GMT+12,Wellingtron,Saturday only,One night was enough for me,7,The GT- Whhaaaat? No idea what you are on about.,Costumes,"Chur's traditional shite music, but I guess since no club in the city would put that kind of bass music on, we just have to tolerate you guys two days a year. (Not Paige) (or Leo)",House music,"Yes, 5 or more times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,I'd say a 2/3 day festival with theme camps like a back to basics Kiwiburn
2018/05/02 11:33:00 am GMT+12,Wellington ,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,The community,Less bass (satire),More of it. (Festival),"Yes, 5 or more times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,More performance pls. 
2018/05/02 11:40:39 am GMT+12,Gisborne,Saturday only,"I went ONE night, but would go for two nights next year",7,The GT- Whhaaaat? No idea what you are on about.,"the safety, good vibes and whanau love ",tHe RaIn hua hua hua hua hua,it was so good seriously yall jst fishing for compliments ,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,if you guys threw any kind of festival out of the three above i'd be there
2018/05/02 11:44:35 am GMT+12,Wellington ,BOTH!,I could probably do a third night,5,I saw them once or twice,Dancing / freaks,Some way to soften the er ‘masculinity’ / Getting cleared out at 4,Outdoor venue with overnight option,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,Maybe more induction / commitment to no Moop
2018/05/02 11:47:09 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",The peeps,,More chilled music in the snug,Not yet,5,"A Weekend Doof (camping, bass music, dancing)",up to 2.0 hrs,
2018/05/02 12:33:00 pm GMT+12,Auckland,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I knew about them but didn't see them,,,,"Yes, 2 to 5 times",7,"A Weekend Doof (camping, bass music, dancing)",any distance,
2018/05/02 12:42:38 pm GMT+12,Wellington ,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,Being able to party and connect with my friends and the burner community ,to many people or a better way to get from the top to the bottom floor ,nothing its fantastic ,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,No thanks for the good times. 
2018/05/02 12:46:34 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I knew about them but didn't see them,"Freedom of expression, Respectful and safe environment, Dope music and party vibes","The set performers (pixel whip, dancers). Or give them a proper stage that we know who they are (and can respect their space/performance time)","More pillows, throws, bean bags in the Snug area - this year felt a bit scarce and not very comfy.","Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,Thank you for the huge amount of organization that went into this amazing weekend! You guys did a fantastic job and your effort is appreciated by the community <3
2018/05/02 1:03:30 pm GMT+12,Wellington,BOTH!,One night was enough for me,5,"Yeah, they were easy to recognise and saw them a lot",The accepting vibe (and the effort everyone goes to with their costumes!),,More fans downstairs ,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 2.0 hrs,
2018/05/02 1:06:57 pm GMT+12,Wellington,Saturday only,One night was enough for me,6,I saw them once or twice,The friendly and open environment,"There was no quiet space, even the cuddle puddle was pretty active and loud",Information about all the things going on - I missed out on some great stuff! ,Not yet,6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,"A really good time but tbh not a great burn introduction. It would be cool to have information available and obvious on website, emails, or on site, about how the cuddle puddle works, etc. "
2018/05/02 1:25:02 pm GMT+12,Manawatu,Saturday only,One night was enough for me,7,I saw them once or twice,Connecting with beautiful weirdos,N/A,"Two things. 

1. I would stick with only doing the one night. I went on the Saturday this year and it felt like there was no way near as many people who attended as there was the previous ‘one night only’ years.

2. The music. The music was absolute garbage this year. I came to dance any there was nothing worth dancing to.  ","Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,Relaxed atmosphere and I really enjoyed myself (bar the music). 
2018/05/02 1:25:25 pm GMT+12,Welly,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,"The accepting crowd, the performers, the costumes. The fact it was something very different by being on a boat gave it unique flavour. ","I think overall it was great, hard to say what to loose! But in terms of more - more go go dancers and performances always great, more of an outdoor area, maybe some more/better food. ",Make it a festival,"Yes, 5 or more times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,"Great event, from an event managers perspective you ticked all the boxes for me - safe, fun, unique, welcoming, multi zones etc. My friends and I had a fucking great couple of nights and are still beaming from it. Well done!!!!"
2018/05/02 1:27:41 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,Music,Surprise tattoos,A tarp for shelter outside for when it rained.,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,More iceblocks and fans ( For sale is fine) for super hot peak hours on the D-floor
2018/05/02 1:28:49 pm GMT+12,Wellington,Saturday only,One night was enough for me,5,I saw them once or twice,"Chatting with friends, dancing, resting.",Lose the DJ with thumping beats in the quiet space.,"Double the number of pillows in the snug space. More dance music that isn't just D&B; maybe chuck in some 90s pop, or 80s EBM.","Yes, 2 to 5 times",2,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/02 2:34:46 pm GMT+12,Christchurch ,Saturday only,"I went ONE night, but would go for two nights next year",7,I saw them once or twice,"The people, the sense of community, of immediacy, of sharing and the means as partying!!",,Sangas?,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
2018/05/02 2:57:51 pm GMT+12,Auckland,BOTH!,One night was enough for me,5,"Yeah, they were easy to recognise and saw them a lot",I enjoyed being away from the mundane reality. It was refreshing. ,"It was my first time at a (nz) burn event, yet not completely foreign to the structure values/principals and environment, its not exactly unique. I did feel however it was easy to feel like you didn't belong. If you've never been to a kiwi burn gathering before. Being international I've been to many alike festivals and gatheings and reunions.I would probably not be too fussed if this event happened again, nor am I overly enthusiastic to go to any kiwi burn events in the near future. ",It seems to be working for others. So great job guys,Not yet,3,"A Weekend Doof (camping, bass music, dancing)",any distance,
2018/05/02 3:33:40 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot","Expressing myself with what I was wearing, how I was dancing, and my interactions. The respect for personal space on the dance floor was amazing too. The security and safety in the space was awesome too. The lineup both nights fuckn rad!  Oh, and the buffer ;-)","I know it is unrealistic, but finishing at 4am is still quite challenging! If we could party later into the night that would be awesome. ",,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
2018/05/02 3:37:33 pm GMT+12,Wellington,Saturday only,One night was enough for me,6,I saw them once or twice,Everyone dressing up,Dance floor was a bit too hot and swamp like,Maybe trying a different venue,"Yes, 2 to 5 times",3,"A Weekend Doof (camping, bass music, dancing)",up to 1.5 hrs,
2018/05/02 3:42:45 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",Burner community coming together for an incredible party over two days.,"Lower lighting on the main deck, minimize moop imprint on the gangplank, slippery dance floor","Chill/snug space - more snugs, chiller music....more snugs.","Yes, 5 or more times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,Chur!
2018/05/02 4:13:25 pm GMT+12,Wellington,Saturday only,"I went ONE night, but would go for two nights next year",6,I knew about them but didn't see them,Freedom of expression. You guys do such an amazing job and the ticket price is so accessible x,I wasn't a fan of how the performances were done. They felt pretty exclusionary at times and it was unavoidable as everything was parked right in the dance floor. I also don't think enough opportunity was given to burners to perform as opposed to elite female pole dancers who have not attended a burn before for example. And I speak as a maaaad pole dance fan. ,I think future burns could benefit from opening up performing slots to the full spectrum of burner individuals (as with the fire show Pre burning of the man) as a priority. I also think doing performances before or after certain things (e.g. Auckland decompression) or in a different area that doesn't invite spontaneous participation but then shut it down when it occurs would have been nicer for some. E.g. At the back of the dance floor - performing wouldn't be in others 'way' and other people wouldn't be in their way but everyone gets the chance to enjoy what they like. The vibe with the pole for example at KB in the chur camp was super awesome. ,"Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,Thank you so much you guys are all super dope had such a great time ❤️❤️❤️
2018/05/02 5:38:10 pm GMT+12,Wellington,Saturday only,I don't mind either way,4,"Yeah, they were easy to recognise and saw them a lot",,The top floor was pretty anxiety inducing relative to previous years it wasn't a very chill space and ended up being a thoroughfare mostly for people to see the deep snug space was already full and come out again slowly as they couldn't find a really relaxing space,,"Yes, 2 to 5 times",5,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 2.0 hrs,
2018/05/02 5:47:09 pm GMT+12,wellington,Saturday only,One night was enough for me,7,The GT- Whhaaaat? No idea what you are on about.,,,,"Yes, once",4,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 6:26:20 pm GMT+12,wellington,Friday only,One night was enough for me,6,The GT- Whhaaaat? No idea what you are on about.,eclectic community,"
geeeeez the music!! awful, sorry but total mess for me","have better music. I understand people have different tastes, but I heard a lot of complaints about the music. Messy, hard to dance to etc","Yes, 2 to 5 times",2,"A Weekend Doof (camping, bass music, dancing)",up to 30 mins,"Good people, on the door in particular were the ones I was aware of. Friendly and fun"
2018/05/02 6:43:41 pm GMT+12,Wellington,Saturday only,I don't mind either way,4,I knew about them but didn't see them,"freedom to be yourself, in whatever form you choose","The sound system on the Saturday night around midnight was really bad, the bass was bleeding all over the place and sounded crap.... Decor also seemed a bit rushed too and not much.... but yeah the sound system was utter crap!",The live space middle deck was the balls! that's something to make bigger :),"Yes, 2 to 5 times",3,"A Weekend Doof (camping, bass music, dancing)",up to 4.0 hrs,"Love what you're doing dudes and dudetts, in this fine city and on the paddock. Love & Light :)"
2018/05/02 7:02:44 pm GMT+12,Wellington,Friday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",,,,Not yet,6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/02 8:02:51 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,The GT- Whhaaaat? No idea what you are on about.,the togetherness,the angle the boat was on,ummm can't think of anything,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,"keep up the fabulousness, the world is a better place for it"
2018/05/02 8:52:28 pm GMT+12,wellington,Friday only,One night was enough for me,7,I saw them once or twice,so easy to make friends,Anchor. Take that baby to Tassie! Sorry. No ideas. ,that's hard. keep the bar by the dance floor though. And coat check. Hope you like my hat I forgot. It's really sparkly on top. ,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,I love swimming and think it's a great co-activity for people to do together and meet each other. So I would definitely go to a festival with a beach or river or lake on site.  
2018/05/02 9:04:04 pm GMT+12,Wellington,BOTH!,I don't mind either way,7,I saw them once or twice,"Getting to see the greater community together again, celebrating each other’s wierd and wild selves ",,,"Yes, 2 to 5 times",5,"A Weekend Doof (camping, bass music, dancing)",up to 2.0 hrs,
2018/05/02 11:02:15 pm GMT+12,Wellington,Friday only,One night was enough for me,6,I saw them once or twice,the friendly people - the live musicians was cool,Not much! Was good fun - thanks for putting on a great night!,"More variety in music styles - d n b , deeper trance but hey that's just my preference :-) / I found it could have been busier on the Friday night but enjoyed the deep space zone / magical shows would be  / visual zones / light art (lets get some more burners involved ","Yes, 2 to 5 times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,It would be great to have a workshops weekend on art / therapy - the holistic side that I really enjoyed going to at the Chur space at Kiwiburn :-)
2018/05/03 8:24:45 am GMT+12,wellington,Saturday only,One night was enough for me,6,I saw them once or twice,the fun and open minded people ,"after a few hours the boat was very crammed, sticky, dirty and moist. Maybe a different location would be better?",s.a.,"Yes, 2 to 5 times",4,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1 hr,thanks for organising!
2018/05/03 9:26:57 am GMT+12,Wellington,Friday only,"I went ONE night, but would go for two nights next year",6,I knew about them but didn't see them,The people!,,The bar not serving straws,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,We did miss the 'buffer' this year - we were super amongst buffing people's backs and bums last year! :)
2018/05/03 9:38:41 am GMT+12,Wellington,Saturday only,"I went ONE night, but would go for two nights next year;I don't mind either way",7,I saw them once or twice,"The music, the people, the radical self expression",Nothing! ,,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,You're the best ♥
2018/05/03 10:22:05 am GMT+12,Wellington,Friday only,One night was enough for me,6,"Yeah, they were easy to recognise and saw them a lot","The good vibes, the dancing, the costumes, the friendliness of all the attendees",,"I'd love to see more professional dancers / performers in general downstairs in the rave room, getting up on the elevated stage areas etc!","Yes, 2 to 5 times",4,"A Weekend Doof (camping, bass music, dancing)",up to 1.5 hrs,
2018/05/04 8:25:09 am GMT+12,Wellington ,Saturday only,One night was enough for me,7,The GT- Whhaaaat? No idea what you are on about.,,"Paid dancers. Not necessary, and make it more like a Courtney place type event and less of a burn ",,"Yes, 2 to 5 times",4,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/04 11:23:57 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,6,I saw them once or twice,Fun! Love! Openness! Creativity,It ending :-( ,"A more spacious venue, different lighting first night, making sure the music in the snug zone doesn’t get too hectic (second night), outdoor party??",Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,Love you guys so much and thank u! Can’t wait to party with you again :-) 
2018/05/04 3:42:04 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot","All my pups having a great time all in the same place.
Bass.","Every time there is still reports of people going too far and crossing boundaries but it would be a magical world if that was fixed.
Annoying trying to dance ontop of spilt drink and discarded plastic cups, bottles and cans.",I do like the idea of more organized daytime activities before partying!,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/04 5:06:26 pm GMT+12,Stratford,BOTH!,I don't mind either way,7,I saw them once or twice,"Good loud music, good bunch of people with a freedom of expression not found in many other places. It's on a boat. Coat check.",Lines for bathrooms,More Paige Julia style bass,"Yes, 2 to 5 times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,Thanks for being awesome and putting in all this work! You guys are the best!
2018/05/04 5:20:24 pm GMT+12,Wellington ,Friday only,I don't mind either way,6,I saw them once or twice,"Feeling super safe to express myself in a fun social environment that caters for all levels of mood (high energy dancing, active socialising and chill snugs if I am getting overwhelmed or anxious) ","The music was very bass heavy and so at times felt a little bit overwhelming. Perhaps mix it up with some more low key chilled stuff? This is just a personal preference. 

Oh, and keep the music SUPER CHILL in the cuddle puddle, some of the DJs choices on the Friday night were questionable ",Nothing. It was great! ,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,"Perhaps make the greeting and discussion about consent standard/uniform across all greeters so that it is clear and accessible to people who have never come across that at a party before. 

I thought our greeter did a good job with the “consent is like a cup of tea” chat, but that is because I have come across that metaphor before and find it engaging.

I think for people new to the Burner scene who aren’t used to having an up front discussion about consent upon entering a party, it might be better to have clearly articulated guidelines laid out during that discussion (similar to the posters that were all around the venue, which were great!). This is for the sake of clarity and simplicity (although consent shouldn’t be a difficult concept *sigh*) 

I really appreciated the consent guardians being around during the evening too, i always feel safe and supported at Burner events, keep doing a great job! "
2018/05/04 6:33:41 pm GMT+12,Wellington,Saturday only,One night was enough for me,6,I knew about them but didn't see them,Great music,"Too Loud, the rig is just way to loud for a venue that size, it takes days for my ears to stop ringing even after wearing ear plugs ","Set the sounds system up for better sound Quality, rather than just balls out volume - half the time I couldn't even hear what track was paling over the distorted bass. ","Yes, 5 or more times",7,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,You guys are building a great reputation - keep up the good work
2018/05/04 8:39:59 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,6,I saw them once or twice,The ability to express yourself in a welcoming environment,"Snug city on the second night was very crowded. Apart from that, nothing",Make snug city bigger?,Not yet,6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,"Great time, thanks guys!"
2018/05/04 9:03:06 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,6,I saw them once or twice,The ability to express yourself in a welcoming environment,"Snug city on the second night was very crowded. Apart from that, nothing",Make snug city bigger?,Not yet,6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,"Great time, thanks guys!"
2018/05/05 9:52:54 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,6,I saw them once or twice,Friends and Bass,,More rubbish bins,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/06 2:54:09 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I don't mind either way,6,I knew about them but didn't see them,,Smoke machines on the super packed floor,"MOOP swoops. There were spills and broken glass, and stray misc on the dance floor at several points. Particularly near the DJ booth and podiums. It would suck for the volunteers in question, but it would be great for safety if there were people doing a sweep of the space every half hour or so.","Yes, 2 to 5 times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/06 11:41:22 pm GMT+12,Auckland,Saturday only,One night was enough for me,6,"Yeah, they were easy to recognise and saw them a lot","Wonderful free, interesting, alive community! Great venue! Great vibes. ","I wasn't nearly as into the music this year as I was last year, such a shame (for me!)  I wasn't convinced on the two night party, interesting idea and makes sense given all the effort put into these parties, but I'm personally on team 1 night. ",Variety of music :)  A greeters team?,"Yes, 2 to 5 times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,THANK YOU  KIA ORA CHURRR
2018/05/08 9:47:34 pm GMT+12,wellington,Friday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",,,,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
